,timestep (1d),Proton_density,Electron_density
124,2012-06-15T00:03:00,3.0700001,2.5048881
125,2012-06-16T00:03:00,3.8249999,2.9440433
126,2012-07-05T00:03:00,2.505,1.8452273
127,2012-07-06T00:03:00,6.2449999,2.9470978
128,2012-07-07T00:03:00,5.2099998,2.6853004
129,2012-07-08T00:03:00,7.0600002,1.8165061
130,2012-07-09T00:03:00,13.585,4.0266727
131,2012-07-10T00:03:00,4.5699999,3.2149762
132,2012-07-11T00:03:00,3.795,3.1105371
133,2012-07-12T00:03:00,2.66,2.6570489
134,2012-07-13T00:03:00,2.545,2.1205634
135,2012-07-14T00:03:00,2.97,1.9360495
136,2012-07-15T00:03:00,20.05,18.037587
137,2012-07-16T00:03:00,1.695,1.0191897
138,2012-07-17T00:03:00,0.86999997,1.0598854
139,2012-07-18T00:03:00,0.94,0.83382358
140,2012-07-19T00:03:00,1.41,1.1128977
141,2012-07-20T00:03:00,3.74,2.6349827
142,2012-07-21T00:03:00,5.1100001,3.580459
143,2012-08-05T00:03:00,4.895,3.1354047
144,2012-08-06T00:03:00,4.9100001,3.8686717
145,2012-08-07T00:03:00,5.5050001,4.7360729
146,2012-08-08T00:03:00,14.755,7.9955261
147,2012-08-14T00:03:00,3.125,2.7973065
148,2012-08-15T00:03:00,3.205,2.4386994
149,2012-08-16T00:03:00,3.4450001,2.8189741
150,2012-08-17T00:03:00,4.6949999,2.555402
151,2012-08-18T00:03:00,5.78,3.1403606
152,2012-08-19T00:03:00,6.28,5.9481324
153,2012-08-20T00:03:00,2.855,2.4561814
154,2012-08-21T00:03:00,2.6750001,1.1420163
155,2012-08-22T00:03:00,4.395,2.5607958
156,2012-08-23T00:03:00,5.7250001,3.8055478
157,2012-08-24T00:03:00,3.8,2.6432267
158,2012-08-25T00:03:00,5.5799999,9.0857513
159,2012-08-26T00:03:00,3.525,2.5288484
160,2012-08-27T00:03:00,1.155,1.117203
161,2012-08-28T00:03:00,1.165,1.0642813
162,2012-08-29T00:03:00,0.77499998,0.93945239
163,2012-08-31T00:03:00,2.45,1.9146806
164,2012-09-01T00:03:00,5.4449999,5.7560166
165,2012-09-02T00:03:00,3.105,1.3998309
166,2012-09-03T00:03:00,8.8499999,5.5202335
167,2012-09-04T00:03:00,19.92,14.810941
168,2012-09-05T00:03:00,5.04,6.8342364
169,2012-09-06T00:03:00,15.255,8.8775654
170,2012-09-15T00:03:00,4.7600002,2.795949
171,2012-09-16T00:03:00,3.2750001,1.9266592
172,2012-09-17T00:03:00,5.0699999,3.3145958
173,2012-09-18T00:03:00,5.1899998,4.5292891
174,2012-09-19T00:03:00,7.8499999,3.9534009
175,2012-09-20T00:03:00,12.64,7.5368087
176,2012-09-21T00:03:00,1.46,1.6249655
177,2012-09-22T00:03:00,3.1750001,2.5491528
