,timestep (1d),Proton_density,Electron_density
123,2012-04-14T00:03:00,2.01,1.340112
124,2012-04-14T12:03:00,2.3100001,1.0741117
125,2012-04-15T00:03:00,0.85500002,0.61727577
126,2012-04-15T12:03:00,2.78,2.2146142
127,2012-04-16T00:03:00,2.78,1.7947931
128,2012-04-16T12:03:00,3.54,2.3485499
129,2012-04-17T00:03:00,4.0,2.746627
130,2012-04-17T12:03:00,7.47,5.4604889
131,2012-04-18T00:03:00,9.0999999,5.5988512
132,2012-04-18T12:03:00,4.6700001,3.0332011
133,2012-04-19T12:03:00,2.4150001,2.0382635
134,2012-04-20T00:03:00,11.235,8.108003
135,2012-04-20T12:03:00,7.8499999,6.3843936
136,2012-04-21T00:03:00,10.765,7.3959389
137,2012-04-21T12:03:00,4.72,2.8841041
138,2012-04-22T00:03:00,9.355,6.1736265
139,2012-04-22T12:03:00,7.615,4.2795947
140,2012-04-23T00:03:00,6.98,4.3591815
141,2012-04-23T12:03:00,23.37,12.275431
142,2012-04-24T00:03:00,10.825,7.3789616
143,2012-04-24T12:03:00,2.6900001,3.2953238
144,2012-04-25T00:03:00,2.27,3.3007929
145,2012-04-25T12:03:00,1.14,1.2411745
146,2012-04-26T00:03:00,1.985,1.951021
147,2012-04-26T12:03:00,1.485,0.96245299
148,2012-04-27T00:03:00,2.735,1.2268628
149,2012-04-27T12:03:00,2.475,1.844439
150,2012-04-28T00:03:00,2.525,2.0187655
151,2012-04-28T12:03:00,2.735,1.7943111
152,2012-04-29T00:03:00,2.1350001,1.2993942
153,2012-04-29T12:03:00,2.13,1.2535654
154,2012-04-30T00:03:00,2.65,2.0541335
155,2012-04-30T12:03:00,2.5150001,1.8396409
156,2012-05-01T00:03:00,3.295,2.0032369
157,2012-05-01T12:03:00,4.3900001,2.8801796
158,2012-05-02T00:03:00,5.155,3.1653447
159,2012-05-02T12:03:00,4.74,3.1557326
160,2012-05-03T00:03:00,7.7350001,5.4098916
161,2012-05-03T12:03:00,14.07,7.9875
162,2012-05-04T00:03:00,6.355,4.7874166
163,2012-05-04T12:03:00,3.34,2.1632215
164,2012-05-05T00:03:00,6.0,4.4236234
165,2012-05-05T12:03:00,7.905,7.6509671
166,2012-05-06T00:03:00,13.575,9.8816624
167,2012-05-06T12:03:00,6.1699998,3.7529271
168,2012-05-07T00:03:00,4.5799999,2.5017504
169,2012-05-07T12:03:00,16.475,10.610407
170,2012-05-08T00:03:00,9.605,8.2473059
171,2012-05-08T12:03:00,12.945,6.8698946
172,2012-05-09T00:03:00,14.615,6.8870384
173,2012-05-09T12:03:00,6.52,4.9919403
174,2012-05-10T00:03:00,3.0899999,2.1638879
175,2012-05-10T12:03:00,2.165,1.5117623
176,2012-05-11T00:03:00,1.66,1.4232302
177,2012-05-11T12:03:00,1.765,1.4120748
178,2012-05-12T00:03:00,1.3,1.2453945
179,2012-05-12T12:03:00,1.4,1.2570817
180,2012-05-13T00:03:00,2.3099999,1.7976145
181,2012-05-13T12:03:00,2.7950001,2.0496856
182,2012-05-14T00:03:00,3.245,1.8987754
183,2012-05-14T12:03:00,2.255,1.3001454
184,2012-05-15T00:03:00,3.115,2.0250546
185,2012-05-15T12:03:00,4.625,2.916821
186,2012-05-16T00:03:00,5.365,3.5780064
187,2012-05-16T12:03:00,5.3,3.6143904
188,2012-05-17T00:03:00,2.04,1.4938526
189,2012-05-17T12:03:00,5.155,3.9903084
190,2012-05-18T00:03:00,9.665,3.6111916
191,2012-05-18T12:03:00,3.01,2.6832975
192,2012-05-19T00:03:00,4.54,3.5889254
193,2012-05-19T12:03:00,3.8300002,3.2714267
194,2012-05-20T00:03:00,4.405,3.2973151
195,2012-05-20T12:03:00,5.155,4.0197255
196,2012-05-21T00:03:00,4.415,3.1931964
197,2012-05-21T12:03:00,3.74,2.6174703
198,2012-05-22T00:03:00,15.06,13.451864
199,2012-05-22T12:03:00,9.0,8.3441648
200,2012-05-23T00:03:00,12.575,10.234703
201,2012-05-23T12:03:00,1.87,1.5678584
202,2012-05-24T00:03:00,1.665,1.4342188
203,2012-05-24T12:03:00,1.71,1.3273397
204,2012-05-31T12:03:00,7.4699998,3.4739845
